route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
126,STM,126,Polyvalente Émile-Legault,3,http://www.stm.info/bus/geomet/geo126.htm,,
127,STM,127,Hochelaga/H-Beaugrand,3,http://www.stm.info/bus/geomet/geo127.htm,,
128,STM,128,Ville-Saint-Laurent,3,http://www.stm.info/bus/geomet/geo128.htm,,
129,STM,129,Côte-Sainte-Catherine,3,http://www.stm.info/bus/geomet/geo129.htm,,
131,STM,131,Assomption,3,http://www.stm.info/bus/geomet/geo131.htm,,
135,STM,135,Esplanade,3,http://www.stm.info/bus/geomet/geo135.htm,,
136,STM,136,Viau,3,http://www.stm.info/bus/geomet/geo136.htm,,
138,STM,138,Notre-Dame-de-Grâce,3,http://www.stm.info/bus/geomet/geo138.htm,,
139,STM,139,Pie-IX,3,http://www.stm.info/bus/geomet/geo139.htm,,
140,STM,140,Fleury,3,http://www.stm.info/bus/geomet/geo140.htm,,
141,STM,141,Jean-Talon Est,3,http://www.stm.info/bus/geomet/geo141.htm,,
144,STM,144,Des Pins,3,http://www.stm.info/bus/geomet/geo144.htm,,
146,STM,146,Christophe-Colomb/Meilleur,3,http://www.stm.info/bus/geomet/geo146.htm,,
150,STM,150,René-Lévesque,3,http://www.stm.info/bus/geomet/geo150.htm,,
160,STM,160,Barclay,3,http://www.stm.info/bus/geomet/geo160.htm,,
161,STM,161,Van Horne,3,http://www.stm.info/bus/geomet/geo161.htm,,
162,STM,162,Westminster,3,http://www.stm.info/bus/geomet/geo162.htm,,
164,STM,164,Dudemaine,3,http://www.stm.info/bus/geomet/geo164.htm,,
165,STM,165,Côte-des-Neiges,3,http://www.stm.info/bus/geomet/geo165.htm,,
166,STM,166,Queen-Mary,3,http://www.stm.info/bus/geomet/geo166.htm,,
168,STM,168,Cité-du-Havre,3,http://www.stm.info/bus/geomet/geo168.htm,,
170,STM,170,Keller,3,http://www.stm.info/bus/geomet/geo170.htm,,
171,STM,171,Henri-Bourassa,3,http://www.stm.info/bus/geomet/geo171.htm,,
172,STM,172,Cote-de-Liesse,3,http://www.stm.info/bus/geomet/geo172.htm,,
174,STM,174,Côte-Vertu Ouest,3,http://www.stm.info/bus/geomet/geo174.htm,,
175,STM,175,Griffith/Saint-François,3,http://www.stm.info/bus/geomet/geo175.htm,,
177,STM,177,Thimens,3,http://www.stm.info/bus/geomet/geo177.htm,,
178,STM,178,Pointe-nord - Île-des-Soeurs,3,http://www.stm.info/bus/geomet/geo178.htm,,
179,STM,179,De L'Acadie,3,http://www.stm.info/bus/geomet/geo179.htm,,
180,STM,180,De Salaberry,3,http://www.stm.info/bus/geomet/geo180.htm,,
182,STM,182,Métrobus Sherbrooke,3,http://www.stm.info/bus/geomet/geo182.htm,,
183,STM,183,Gouin Est,3,http://www.stm.info/bus/geomet/geo183.htm,,
