trip_id,start_time,end_time,headway_secs
12J_12J_A_4_42_0.50000,05:30:00,25:30:00,600
12J_12J_A_4_42_0.50694,05:30:00,25:30:00,600
12J_12J_A_4_42_0.51389,05:30:00,25:30:00,600
12J_12J_A_4_42_0.52083,05:30:00,25:30:00,600
12J_12J_A_4_42_0.52778,05:30:00,25:30:00,600
12J_12J_A_4_42_0.53472,05:30:00,25:30:00,600
12J_12J_A_4_42_0.54167,05:30:00,25:30:00,600
12J_12J_A_4_42_0.54861,05:30:00,25:30:00,600
12J_12J_A_4_42_0.55556,05:30:00,25:30:00,600
12J_12J_A_4_42_0.56250,05:30:00,25:30:00,600
12J_12J_A_4_42_0.56944,05:30:00,25:30:00,600
12J_12J_A_4_42_0.57639,05:30:00,25:30:00,600
12J_12J_A_4_42_0.58333,05:30:00,25:30:00,600
12J_12J_A_4_42_0.59028,05:30:00,25:30:00,600
12J_12J_A_4_42_0.59722,05:30:00,25:30:00,600
12J_12J_A_4_42_0.60417,05:30:00,25:30:00,600
12J_12J_A_4_42_0.61111,05:30:00,25:30:00,600
12J_12J_A_4_42_0.61806,05:30:00,25:30:00,600
12J_12J_A_4_42_0.62500,05:30:00,25:30:00,600
12J_12J_A_4_42_0.63194,05:30:00,25:30:00,600
12J_12J_A_4_42_0.63889,05:30:00,25:30:00,600
12J_12J_A_4_42_0.64583,05:30:00,25:30:00,600
12J_12J_A_4_42_0.65278,05:30:00,25:30:00,600
12J_12J_A_4_42_0.65972,05:30:00,25:30:00,600
12J_12J_A_4_42_0.66667,05:30:00,25:30:00,600
12J_12J_A_4_42_0.67361,05:30:00,25:30:00,600
12J_12J_A_4_42_0.68056,05:30:00,25:30:00,600
12J_12J_A_4_42_0.68750,05:30:00,25:30:00,600
12J_12J_A_4_42_0.69444,05:30:00,25:30:00,600
12J_12J_A_4_42_0.70139,05:30:00,25:30:00,600
12J_12J_A_4_42_0.70833,05:30:00,25:30:00,600
12J_12J_A_4_42_0.71528,05:30:00,25:30:00,600
12J_12J_A_4_42_0.72222,05:30:00,25:30:00,600
12J_12J_A_4_42_0.72917,05:30:00,25:30:00,600
12J_12J_A_4_42_0.73611,05:30:00,25:30:00,600
12J_12J_A_4_42_0.74306,05:30:00,25:30:00,600
12J_12J_A_4_42_0.75000,05:30:00,25:30:00,600
12J_12J_A_4_42_0.75694,05:30:00,25:30:00,600
12J_12J_A_4_42_0.76389,05:30:00,25:30:00,600
12J_12J_A_4_42_0.77083,05:30:00,25:30:00,600
12J_12J_A_4_42_0.77778,05:30:00,25:30:00,600
12J_12J_A_4_42_0.78472,05:30:00,25:30:00,600
12J_12J_A_4_42_0.79167,05:30:00,25:30:00,600
12J_12J_A_4_42_0.79861,05:30:00,25:30:00,600
12J_12J_A_4_42_0.80556,05:30:00,25:30:00,600
12J_12J_A_4_42_0.81250,05:30:00,25:30:00,600
12J_12J_A_4_42_0.81944,05:30:00,25:30:00,600
12J_12J_A_4_42_0.82639,05:30:00,25:30:00,600
12J_12J_A_4_42_0.83333,05:30:00,25:30:00,600
12J_12J_A_4_42_0.84028,05:30:00,25:30:00,600
12J_12J_A_4_42_0.84722,05:30:00,25:30:00,600
12J_12J_A_4_42_0.85417,05:30:00,25:30:00,600
12J_12J_A_4_42_0.86111,05:30:00,25:30:00,600
12J_12J_A_4_42_0.86806,05:30:00,25:30:00,600
12J_12J_A_4_42_0.87500,05:30:00,25:30:00,600
12J_12J_A_4_42_0.88194,05:30:00,25:30:00,600
12J_12J_A_4_42_0.88889,05:30:00,25:30:00,600
12J_12J_A_4_42_0.89583,05:30:00,25:30:00,600
12J_12J_A_4_42_0.90278,05:30:00,25:30:00,600
12J_12J_A_4_42_0.90972,05:30:00,25:30:00,600
12J_12J_A_4_42_0.91667,05:30:00,25:30:00,600
12J_12J_A_4_42_0.92361,05:30:00,25:30:00,600
12J_12J_A_4_42_0.93056,05:30:00,25:30:00,600
12J_12J_A_4_42_0.93750,05:30:00,25:30:00,600
12J_12J_A_4_42_0.94444,05:30:00,25:30:00,600
12J_12J_A_4_42_0.95139,05:30:00,25:30:00,600
12J_12J_A_4_42_0.95833,05:30:00,25:30:00,600
12J_12J_A_4_42_0.96528,05:30:00,25:30:00,600
12J_12J_A_4_42_0.97222,05:30:00,25:30:00,600
12J_12J_A_4_42_0.97917,05:30:00,25:30:00,600
12J_12J_A_4_42_0.98611,05:30:00,25:30:00,600
12J_12J_A_4_42_0.99306,05:30:00,25:30:00,600
12J_12J_A_4_42_1.00000,05:30:00,25:30:00,600
12J_12J_A_4_42_1.00694,05:30:00,25:30:00,600
12J_12J_A_4_42_1.01389,05:30:00,25:30:00,600
12J_12J_A_4_42_1.02083,05:30:00,25:30:00,600
12J_12J_A_4_42_1.02778,05:30:00,25:30:00,600
12J_12J_A_4_42_1.03472,05:30:00,25:30:00,600
12J_12J_A_4_42_1.04167,05:30:00,25:30:00,600
12J_12J_A_4_42_1.04861,05:30:00,25:30:00,600
12J_12J_A_4_42_1.05556,05:30:00,25:30:00,600
12J_12J_A_4_42_1.06250,05:30:00,25:30:00,600
12J_12J_A_4_42_1.06944,05:30:00,25:30:00,600
12J_12J_A_5_1_0.22917,05:30:00,08:04:00,660
12J_12J_A_5_2_0.91875,22:03:00,24:15:00,660
12J_12J_A_5_3_0.95694,22:03:00,24:15:00,660
12J_12J_A_5_4_0.99514,22:03:00,24:15:00,660
12J_12J_A_5_3_0.92639,22:03:00,24:15:00,660
12J_12J_A_5_4_0.96458,22:03:00,24:15:00,660
12J_12J_A_5_5_1.00278,22:03:00,24:15:00,660
12J_12J_A_5_4_0.93403,22:03:00,24:15:00,660
12J_12J_A_5_5_0.97222,22:03:00,24:15:00,660
12J_12J_A_5_2_1.01042,22:03:00,24:15:00,660
12J_12J_A_5_5_0.94167,22:03:00,24:15:00,660
12J_12J_A_5_2_0.97986,22:03:00,24:15:00,660
12J_12J_A_5_2_0.94931,22:03:00,24:15:00,660
12J_12J_A_5_3_0.98750,22:03:00,24:15:00,660
12J_12J_I_1_1_0.22917,05:30:00,07:25:30,630
12J_12J_I_1_3_0.95833,22:29:00,24:03:30,630
12J_12J_I_1_5_0.99514,23:00:30,24:35:00,630
12J_12J_I_1_10_0.96597,23:00:30,24:35:00,630
12J_12J_I_1_11_1.00208,22:29:00,24:03:30,630
12J_12J_I_1_11_0.97292,23:00:30,24:35:00,630
12J_12J_I_1_1_1.00972,22:29:00,24:03:30,630
12J_12J_I_1_11_0.93889,22:29:00,24:03:30,630
12J_12J_I_1_1_0.98056,23:00:30,24:35:00,630
12J_12J_I_1_3_1.01667,22:29:00,24:03:30,630
12J_12J_I_1_1_0.94514,22:29:00,24:03:30,630
12J_12J_I_1_3_0.98750,23:00:30,24:35:00,630
12J_12J_I_1_5_1.02431,22:29:00,24:03:30,630
12J_12J_I_1_8_0.62500,15:00:00,18:23:00,420
