stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
3300061,57999,des Sources / 9e Rue,45.500176,-73.813231,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=57999
3300082,58003,Gouin / 4e Avenue,45.510905,-73.810702,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58003
3300212,58012,Gouin / 2e Rue,45.508706,-73.799667,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58012
3300234,58014,Gouin / The Boulevard,45.510286,-73.804307,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58014
3300244,58015,Gouin / 2e Rue,45.508616,-73.800075,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58015
3300254,58016,Gouin / 1re Rue,45.506635,-73.794540,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58016
3300362,58020,Gouin / 8e Avenue,45.510301,-73.817530,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58020
3300410,58027,11e Avenue / 9e Rue,45.506344,-73.803854,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58027
3400092,58040,Chèvremont / de Tonty,45.491069,-73.881571,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58040
3400132,58045,Cherrier / de l'Église,45.486533,-73.878853,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58045
3400142,58047,Cherrier / Saint-Charles,45.487701,-73.877254,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58047
3400154,58048,Cherrier / Dollard,45.487705,-73.876942,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58048
3400174,58051,Chèvremont / Jules-Janvril,45.496783,-73.872551,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58051
3400204,58055,Cherrier / Jacques-Bizard,45.490114,-73.872028,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58055
3400232,58059,Cherrier / Poudrette,45.493292,-73.867321,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58059
3400262,58062,Cherrier / des Prés,45.488733,-73.875737,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58062
3400274,58064,Chèvremont / Aimé-Lecavalier,45.492726,-73.878325,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58064
3500064,58072,Gouin / de Jouvence,45.473088,-73.874620,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58072
3500084,58075,Pierrefonds / Richelieu,45.472594,-73.872583,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58075
3500109,58077,Gouin Ouest / No 16407,45.476401,-73.874358,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58077
3500120,58079,Gouin Ouest / No 16180,45.478258,-73.873370,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58079
3500130,58080,Gouin Ouest / No 15905,45.480677,-73.870084,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58080
3600222,58087,Gouin / Coursol,45.465574,-73.890425,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58087
106661,50914,Saint-Denis / Guizot,45.543546,-73.632198,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50914
106703,50917,Earnscliffe / Isabella,45.483464,-73.634046,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=50917
3700702,58406,Brunswick / Nelligan,45.450679,-73.873665,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58406
3900482,58535,Firing / Clark-Graham,45.424537,-73.909421,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58535
3900504,58538,Clark-Graham / Pirie,45.417183,-73.927609,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58538
3600364,58112,Antoine-Faucon / Saint-Charles,45.459929,-73.866982,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58112
3600414,58122,Gouin / Saint-Pierre,45.486951,-73.861755,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58122
3600422,58124,Pierrefonds / Jacques-Bizard,45.482824,-73.861499,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58124
3600431,58125,Jacques-Bizard / Labelle,45.480516,-73.861078,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58125
3600471,58129,Jacques-Bizard / Highland,45.477018,-73.858906,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58129
3600514,58133,Gouin / Saint-Jean,45.493363,-73.853195,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58133
3600521,58135,Saint-Jean / Pierrefonds,45.491180,-73.851202,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58135
3600524,58136,Pierrefonds / Saint-Jean,45.491426,-73.852375,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58136
3600532,58138,Gouin / de la Rive-Boisée,45.495623,-73.851186,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58138
3600541,58139,René-Émard / Gouin,45.495332,-73.851073,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58139
3600553,58142,René-Émard / Pierrefonds,45.493289,-73.850118,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58142
3600556,58144,René-Émard / Pierrefonds,45.493659,-73.850281,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58144
3600602,58152,Gouin / Beamish,45.500641,-73.847390,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58152
3600631,58155,de Versailles / Elizabeth,45.507340,-73.845764,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58155
3600654,58159,Gouin / Belleville,45.501617,-73.845299,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58159
3600692,58163,Monk / Fredmir,45.505613,-73.841593,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58163
3600701,58165,Perron / Pavillon,45.511970,-73.840698,http://www2.stm.info/horaires/frmResult.aspx?Langue=Fr&Arret=58165
